technology,invented,inventor,deployed,works,useful,harmful,usability_type,harm_type
Мгновенное общение,01.01.2000,Чарли Чату,01.06.2001,3,9,3,Коммуникация,Огранизационные
Летающие машины,15.03.2025,Эмили Авиационная,15.09.2026,5,5,1,Транспорт,Стоимость
Биороботы,07.02.2030,Д-р Роберт Боття,15.11.2032,5,8,1,Медицина,Непредсказуемость
Путешествия во времени,20.12.2040,Жанна Временная,20.05.2045,7,6,5,Наука,Парадоксы
Подводные города,03.11.2035,Немо Драматург,03.04.2038,3,9,2,Экология,Загрязнение
Синтетическое мясо,12.08.2022,Шеф Повар Григорий,12.10.2025,4,8,6,Экология,Социальное
Искусственный интеллект,01.01.2025,Макс Разум,01.06.2028,2,3,4,Автоматизация,Социальное
Виртуальная реальность,20.05.2020,Томас Визуальный,20.11.2023,8,4,6,Развлечение,Социальное
Генетическая инженерия,15.04.2030,Д-р Лара Генет,15.10.2033,2,6,5,Медицина,Социальное
Нанотехнологии,07.07.2025,Стэнли Нано,07.01.2028,1,9,3,Автоматизация,Стоимость
Экзоскелеты,15.01.2030,Джек Механик,15.08.2032,3,5,9,Медицина,Стоимость
Чистая энергия,01.02.2025,Сара Зелёная,01.12.2026,7,3,6,Экология,Ресурсы
Квантовые компьютеры,10.03.2025,Лео Квант,10.10.2026,3,6,4,Автоматизация,Сложность
Блокчейн,15.05.2018,Ник Блок,15.11.2020,9,9,3,Безопасность,Огранизационные
Умные дома,20.04.2020,Грета Умная,20.12.2022,3,9,3,Удобство,Огранизационные
ДНК-тестирование,01.06.2015,Доктор Аналитик,01.02.2018,3,8,7,Медицина,Непредсказуемость
Роботы-помощники,12.01.2025,Лейла Помощник,12.05.2027,4,8,7,Удобство,Социальное
Аугментация человека,15.02.2040,Клара Аугмент,15.05.2045,1,5,4,Наука,Социальное
Метеорологические дроны,01.08.2025,Ральф Дрон,01.12.2027,7,6,3,Прогнозирование,Оборона